gender,numYears,numRaters,numCourses,pepper,discipline,helpfulness,clarity,easiness,raterInterest,area
male,7,20,3,no,STEM,4.6,4.65,3.7,3.882352941,Midwest
female,9,33,1,no,STEM,4.181818182,3.848484848,1.878787879,3.961538462,Midwest
male,8,32,3,yes,Pre-prof,4.34375,4.5625,4.625,3.59375,Midwest
male,7,11,2,no,Hum,5,4.818181818,4.181818182,4.909090909,Midwest
male,7,17,3,no,Hum,4.352941176,4.411764706,4.117647059,3.8125,Midwest
male,11,50,4,no,SocSci,4.22,4.28,2.48,3.3125,Midwest
male,10,26,4,no,STEM,4.384615385,4.576923077,3.038461538,4.043478261,Midwest
male,11,20,8,no,Hum,4.15,4,3.25,3.631578947,Midwest
female,11,60,7,no,STEM,2.716666667,2.466666667,3.483333333,2.25,Midwest
female,7,10,4,no,Pre-prof,4.9,4.8,4.9,4.6,Midwest
male,11,27,6,no,Hum,4.037037037,3.925925926,3.148148148,4.153846154,Midwest
female,5,11,6,no,STEM,3.818181818,3.727272727,3.727272727,3,Midwest
female,8,10,4,no,STEM,3.1,2.7,1.5,3,Midwest
male,7,11,5,no,Hum,4.636363636,4.636363636,4.818181818,3.545454545,Midwest
male,11,10,2,no,Hum,3.6,3.6,3.2,4.3,Midwest
male,11,53,6,no,Pre-prof,4.8490567,4.773585,4.1320753,3.1333334,Midwest
male,11,21,3,no,STEM,4.428571429,3.904761905,3.095238095,3.35,Midwest
male,1,11,3,yes,STEM,4.909090909,5,4.363636364,3.181818182,Midwest
female,9,36,7,no,Hum,4.945945946,4.756756757,3.72972973,3.75,Midwest
female,10,35,6,no,Hum,3.171428571,3.228571429,3.028571429,3.657142857,Midwest
female,11,41,2,no,Hum,3.731707317,3.658536585,3.390243902,3.358974359,Midwest
male,11,12,4,no,Hum,2.1666667,2,1.75,3.75,Midwest
female,5,12,2,no,Pre-prof,3.583333333,3.833333333,4.25,2,Midwest
male,3,26,5,no,Hum,2.692307692,2.192307692,2.230769231,2.692307692,Midwest
male,5,15,3,yes,Pre-prof,3.5333333,3.3333333,3.6,3.6666667,Midwest
female,6,46,3,no,SocSci,4.413043478,3.97826087,3.869565217,3.369565217,Midwest
female,11,16,4,no,Pre-prof,3.6875,3.4375,4.125,3.4375,Midwest
female,4,11,5,no,SocSci,4.272727273,3.727272727,3.636363636,3.636363636,Midwest
male,11,19,3,no,Pre-prof,4.473684211,4.315789474,3.368421053,3.421052632,Midwest
male,10,51,4,no,SocSci,4.1764708,4.5686274,3.5882354,4.0833335,Midwest
male,7,12,2,no,Hum,3.333333333,3.25,3.333333333,3.416666667,Midwest
female,2,10,3,no,Pre-prof,3.2,3.3,3,2.7,Midwest
female,11,38,2,no,Pre-prof,3.657894737,3.368421053,3.868421053,2.823529412,Midwest
male,6,18,7,no,STEM,2.8333333,2.4444444,2.0555556,2.4444444,Midwest
male,7,12,4,no,Pre-prof,3,2.916666667,3.833333333,3.416666667,Midwest
female,10,22,3,no,Hum,3.5,3.5,2.272727273,3,Midwest
